2026-01-19 17:09:20 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:09:20 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:09:20 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:09:20 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:09:20 | INFO     | TyanShanWeight.config | Файл конфигурации не найден. Создаем с значениями по умолчанию.
2026-01-19 17:09:20 | INFO     | TyanShanWeight.config | Конфигурация сохранена в C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:09:20 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:09:20 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:09:20 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:09:20 | ERROR    | TyanShanWeight.scale_reader | Ошибка подключения к COM1: could not open port 'COM1': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
2026-01-19 17:09:21 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:09:21 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:09:37 | INFO     | TyanShanWeight.config | Конфигурация сохранена в C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:09:37 | INFO     | TyanShanWeight.settings_dialog | Настройки сохранены
2026-01-19 17:09:37 | INFO     | TyanShanWeight.weighing_manager | Конфигурация обновлена
2026-01-19 17:10:52 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:10:52 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:10:52 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:10:52 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:12:31 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:12:31 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:12:31 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:12:31 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:12:31 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:12:31 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:12:32 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:12:32 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:12:32 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:12:32 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:12:32 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:13:48 | INFO     | TyanShanWeight.config | Конфигурация сохранена в C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:13:48 | INFO     | TyanShanWeight.settings_dialog | Настройки сохранены
2026-01-19 17:13:48 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:13:48 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:13:48 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:13:48 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:13:48 | INFO     | TyanShanWeight.weighing_manager | Конфигурация обновлена
2026-01-19 17:16:00 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:16:00 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:16:00 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:16:00 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:16:00 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:16:01 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:16:01 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:16:01 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:16:01 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:16:01 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:16:01 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:24:16 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:24:16 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:24:16 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:24:16 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:24:16 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:24:16 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:24:24 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:24:24 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:24:24 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:24:24 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:24:24 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
